distance numAnts alpha betha evaporationRate
7643 20 1 2.54 0.53
7800 20 1 2.54 0.5
7807 40 2.1 2.54 0.53
7811 40 2.1 2.33 0.5
7811 20 1 2.54 0.5
7811 20 1 2.54 0.53
7811 40 2.1 2.33 0.53
7811 20 1 2.33 0.53
7822 40 2.1 2.54 0.5
7822 20 1 2.33 0.53
7946 40 1 2.54 0.53
7950 20 1 2.33 0.56
7950 20 1 2.33 0.56
8056 20 1 2.33 0.53
8057 20 1 2.54 0.5
8079 20 1 2.33 0.56
8154 40 1 2.54 0.53
8186 40 1 2.33 0.53
8186 40 1 2.33 0.53
8205 40 1 2.54 0.5
8205 40 1 2.54 0.5
8228 20 1 2.54 0.53
8444 20 2.1 2.54 0.53
8444 40 1 2.54 0.53
8626 20 2.1 2.54 0.53
8791 20 2.1 2.54 0.53
8869 20 2.1 2.33 0.5
8869 20 2.1 2.33 0.5
8869 40 2.1 2.33 0.5
9073 20 2.1 2.54 0.5
9073 40 1 2.54 0.5
9073 20 2.1 2.54 0.5
9143 40 2.1 2.33 0.53
9143 20 2.1 2.33 0.53
9175 40 2.1 2.33 0.53
9186 40 2.1 2.33 0.5
9303 40 2.1 2.54 0.5
9303 20 2.1 2.54 0.5
9346 40 2.1 2.54 0.53
9346 40 2.1 2.54 0.53
9457 40 2.1 2.54 0.5
9526 20 2.1 2.33 0.53
9529 20 2.1 2.33 0.53
9535 40 1 2.33 0.5
9535 20 2.1 2.33 0.5
9540 40 1 2.33 0.53
